Player,Team,Actual Market Value (€M),Predicted Market Value (€M)
Trevoh Chalobah,Chelsea,20.1,8.792636932759706
Chris Richards,Crystal Palace,15.7,25.980021768783445
Sávio,Manchester City,74.8,70.90817442239359
William Osula,Newcastle Utd,0.0,-8.319412925134657
Simon Adingra,Brighton,0.0,11.65490046455443
Mario Lemina,Wolves,0.0,2.484227609046684
Andy Irving,West Ham,0.0,-3.3587255260990787
Jean-Ricner Bellegarde,Wolves,21.3,2.6074250633464544
Yoane Wissa,Brentford,31.4,68.50330467094818
Joelinton,Newcastle Utd,47.5,62.61306574954142
Adam Smith,Bournemouth,1.5,2.4252682619357984
Dominik Szoboszlai,Liverpool,71.4,73.08223408107278
Sandro Tonali,Newcastle Utd,52.9,39.30266394384489
James Bree,Southampton,0.0,8.457662210336366
Nick Pope,Newcastle Utd,11.7,3.634939929124357
Callum Wilson,Newcastle Utd,0.0,-18.583605362196977
Son Heung-min,Tottenham,0.0,42.29254407572171
Stefan Ortega,Manchester City,5.8,5.00712573394685
Nicolás Domínguez,Nott'ham Forest,18.8,30.56139075793135
Jan Paul van Hecke,Brighton,42.4,80.93272993059873
Carlos Soler,West Ham,23.4,11.178787270504017
Illia Zabarnyi,Bournemouth,58.8,54.20819222981754
Saša Lukić,Fulham,12.1,42.52961288242932
Bernardo Silva,Manchester City,50.0,57.29988982039413
Carlos Baleba,Brighton,52.4,54.47175460357994
Carlos Forbs,Wolves,0.0,1.891270698934477
Fraser Forster,Tottenham,0.0,-10.5004563831435
Kevin De Bruyne,Manchester City,20.1,46.96374921953611
Konstantinos Mavropanos,West Ham,19.1,19.584587919029218
Patrick Dorgu,Manchester Utd,0.0,17.08296532870054
Dan Burn,Newcastle Utd,9.1,36.0698441368836
Dwight McNeil,Everton,27.0,23.111721336635583
Mark Flekken,Brentford,13.6,19.760397544607713
Matheus Cunha,Wolves,62.6,55.712058740657994
Antoine Semenyo,Bournemouth,47.7,92.2879077946377
Cameron Archer,Southampton,18.6,44.00220138811983
Aaron Ramsdale,Southampton,18.7,18.83215414042752
Adama Traoré,Fulham,8.0,43.019426153821314
Joe Gomez,Liverpool,0.0,8.303440034956111
Jaden Philogene Bidace,Ipswich Town,0.0,9.297047425119672
Robert Sánchez,Chelsea,24.9,25.920516710099946
Rasmus Højlund,Manchester Utd,0.0,25.882086175500717
Rodrigo Muniz,Fulham,8.2,24.023491765196468
Flynn Downes,Southampton,9.2,35.36202139207171
Bukayo Saka,Arsenal,101.3,66.35723458466418
Jadon Sancho,Chelsea,37.7,32.53082375374515
Alexander Isak,Newcastle Utd,120.3,84.84801775840651
Timo Werner,Tottenham,0.0,-0.957182217324771
Youri Tielemans,Aston Villa,41.5,64.38942084204882
Yehor Yarmoliuk,Brentford,18.0,17.477586446973874
Sergio Reguilón,Tottenham,0.0,-4.860150462717684
Armando Broja,Everton,0.0,1.4058539432162434
Hwang Hee-chan,Wolves,0.0,2.159023652216547
Manuel Ugarte Ribeiro,Manchester Utd,0.0,40.27393922207284
Gabriel Magalhães,Arsenal,75.5,39.869429559152195
Calvin Bassey,Fulham,29.9,31.051795395409954
Vitaliy Mykolenko,Everton,33.5,17.120556369610313
Conor Townsend,Ipswich Town,0.0,-3.307329984694661
Matthijs de Ligt,Manchester Utd,52.2,41.71182891532317
Fabian Schär,Newcastle Utd,11.0,36.84322687652502
Yukinari Sugawara,Southampton,15.7,14.631848748754237
Sepp van den Berg,Brentford,26.4,29.985785843951362
Brajan Gruda,Brighton,0.0,23.9547052639723
Marcus Rashford,Manchester Utd,53.6,2.8230616645832924
Miguel Almirón,Newcastle Utd,0.0,-13.364073730517703
Kosta Nedeljković,Aston Villa,0.0,9.712716487834768
Cody Gakpo,Liverpool,67.5,44.45593584112021
Kenny Tete,Fulham,14.0,16.97834979921845
Reiss Nelson,Fulham,0.0,23.356083103267338
Wes Burns,Ipswich Town,2.1,-6.826668254990636
Sammie Szmodics,Ipswich Town,14.1,8.874940972245895
Danilo,Nott'ham Forest,0.0,-1.9069537743889668
Michael Kayode,Brentford,0.0,8.979614118466088
Wilfred Ndidi,Leicester City,20.3,24.06198631301322
Willy Boly,Nott'ham Forest,0.0,-8.550215888085404
Carlos Alcaraz,Everton,0.0,9.121238238156366
Luke Thomas,Leicester City,0.0,0.6884823138220781
Martin Dúbravka,Newcastle Utd,0.0,-3.509844649423485
Cheick Doucouré,Crystal Palace,0.0,3.8373834673229794
Edson Álvarez,West Ham,36.5,10.627652677434526
Marcus Tavernier,Bournemouth,24.4,46.06583736937182
Lloyd Kelly,Newcastle Utd,0.0,1.9368006974764285
Radu Drăgușin,Tottenham,28.4,24.87494106717986
Yasin Ayari,Brighton,21.4,26.96853946946112
Diego Gómez,Brighton,0.0,6.361363795175748
Mikey Moore,Tottenham,0.0,13.89083285781453
Christian Nørgaard,Brentford,14.4,48.46370104468224
Caoimhín Kelleher,Liverpool,0.0,10.81607894176932
Solly March,Brighton,0.0,-5.383126790826736
Alex McCarthy,Southampton,0.0,-9.868113978844121
James Hill,Bournemouth,0.0,7.055063782535399
Orel Mangala,Everton,24.4,4.9118972443675375
Alexis Mac Allister,Liverpool,106.1,62.843012126852045
Martin Ødegaard,Arsenal,126.5,96.94913058169823
Omar Marmoush,Manchester City,79.1,10.347811869297402
Bernd Leno,Fulham,13.7,26.20425795980873
Kyle Walker-Peters,Southampton,16.6,52.02901623845946
Renato Veiga,Chelsea,0.0,5.651772667194109
Mathys Tel,Tottenham,0.0,55.67835219089284
